artist,style,genre,movement,tags,url,img,file_name
Marevna (Marie Vorobieff),Pointillism,nude painting (nu),Cubism,"['female-nude', 'Lady', 'Textile', 'Sitting']",https://www.wikiart.org/en/marevna-marie-vorobieff/not-identified-6,https://uploads2.wikiart.org/images/marevna-marie-vorobieff/not-identified-6.jpg!Large.jpg,156644-not-identified-6.jpg
Marevna (Marie Vorobieff),Cubism,nude painting (nu),Cubism,"['animals', 'dogs', 'female-nude']",https://www.wikiart.org/en/marevna-marie-vorobieff/claude-lamorrise-with-two-tibetan-dogs,https://uploads6.wikiart.org/images/marevna-marie-vorobieff/claude-lamorrise-with-two-tibetan-dogs.jpg!Large.jpg,156646-claude-lamorrise-with-two-tibetan-dogs.jpg
Marevna (Marie Vorobieff),Cubism,nude painting (nu),Cubism,"['famous-people', 'female-nude']",https://www.wikiart.org/en/marevna-marie-vorobieff/portrait-of-catherine-dolan,https://uploads3.wikiart.org/images/marevna-marie-vorobieff/portrait-of-catherine-dolan.jpg,156652-portrait-of-catherine-dolan.jpg
Marevna (Marie Vorobieff),Expressionism,nude painting (nu),Cubism,"['famous-people', 'female-nude', 'Lady', 'Sketch']",https://www.wikiart.org/en/marevna-marie-vorobieff/portrait-of-the-artist-s-daughter-marika-rivera-aged-23-with-a-lover,https://uploads0.wikiart.org/images/marevna-marie-vorobieff/portrait-of-the-artist-s-daughter-marika-rivera-aged-23-with-a-lover.jpg!Large.jpg,156655-portrait-of-the-artist-s-daughter-marika-rivera-aged-23-with-a-lover.jpg
Marevna (Marie Vorobieff),Cubism,nude painting (nu),Cubism,"['female-nude', 'Mythology']",https://www.wikiart.org/en/marevna-marie-vorobieff/the-bathers,https://uploads6.wikiart.org/images/marevna-marie-vorobieff/the-bathers.jpg!Large.jpg,156656-the-bathers.jpg
Marevna (Marie Vorobieff),Cubism,nude painting (nu),Cubism,['female-nude'],https://www.wikiart.org/en/marevna-marie-vorobieff/not-identified-7,https://uploads1.wikiart.org/images/marevna-marie-vorobieff/not-identified-7.jpg,156658-not-identified-7.jpg
Marevna (Marie Vorobieff),Cubism,nude painting (nu),Cubism,"['female-nude', 'Male']",https://www.wikiart.org/en/marevna-marie-vorobieff/not-identified-8,https://uploads1.wikiart.org/images/marevna-marie-vorobieff/not-identified-8.jpg,156659-not-identified-8.jpg
Marevna (Marie Vorobieff),Pointillism,nude painting (nu),Cubism,"['female-nude', 'Chest']",https://www.wikiart.org/en/marevna-marie-vorobieff/-1,https://uploads5.wikiart.org/images/marevna-marie-vorobieff/-1.jpg,156665--1.jpg
Vilhelm Lundstrom,Cubism,nude painting (nu),Cubism,,https://www.wikiart.org/en/vilhelm-lundstrom/two-female-nudes-1927,https://uploads1.wikiart.org/images/vilhelm-lundstrom/two-female-nudes-1927.jpg!Large.jpg,156702-two-female-nudes-1927.jpg
Vilhelm Lundstrom,Cubism,nude painting (nu),Cubism,"['Joint', 'Neck', 'Humanbody']",https://www.wikiart.org/en/vilhelm-lundstrom/nude-1930,https://uploads7.wikiart.org/images/vilhelm-lundstrom/nude-1930.jpg!Large.jpg,156704-nude-1930.jpg
Vilhelm Lundstrom,Cubism,nude painting (nu),Cubism,"['Lady', 'Lip', 'Neck']",https://www.wikiart.org/en/vilhelm-lundstrom/st-ende-model-1932,https://uploads7.wikiart.org/images/vilhelm-lundstrom/st-ende-model-1932.jpg!Large.jpg,156705-st-ende-model-1932.jpg
Vilhelm Lundstrom,Cubism,nude painting (nu),Cubism,,https://www.wikiart.org/en/vilhelm-lundstrom/seated-female-nude-1940,https://uploads3.wikiart.org/images/vilhelm-lundstrom/seated-female-nude-1940.jpg!Large.jpg,156707-seated-female-nude-1940.jpg
M. H. Maxy,Cubism,nude painting (nu),Cubism,['Pattern'],https://www.wikiart.org/en/m-h-maxy/nude-with-veil-1922,https://uploads6.wikiart.org/images/max-herman-maxy/nude-with-veil-1922.jpg!Large.jpg,156802-nude-with-veil-1922.jpg
M. H. Maxy,Cubism,nude painting (nu),Cubism,,https://www.wikiart.org/en/m-h-maxy/nude-1924,https://uploads5.wikiart.org/images/max-herman-maxy/nude-1924.jpg!Large.jpg,156806-nude-1924.jpg
M. H. Maxy,Cubism,nude painting (nu),Cubism,,https://www.wikiart.org/en/m-h-maxy/nude-with-idol-1924,https://uploads6.wikiart.org/images/max-herman-maxy/nude-with-idol-1924.jpg!Large.jpg,156807-nude-with-idol-1924.jpg
M. H. Maxy,Cubism,nude painting (nu),Cubism,['Sitting'],https://www.wikiart.org/en/m-h-maxy/nude-on-green-sofa-1928,https://uploads3.wikiart.org/images/m-h-maxy/nude-on-green-sofa-1928.jpg!Large.jpg,156824-nude-on-green-sofa-1928.jpg
M. H. Maxy,Cubism,nude painting (nu),Cubism,,https://www.wikiart.org/en/m-h-maxy/composition,https://uploads8.wikiart.org/images/m-h-maxy/composition.jpg,156838-composition.jpg
Jankel Adler,Expressionism,nude painting (nu),Cubism,['Furniture'],https://www.wikiart.org/en/jankel-adler/akt-mit-stuhl-und-rotem-tuch-1930,https://uploads7.wikiart.org/images/jankel-adler/akt-mit-stuhl-und-rotem-tuch-1930.jpg,156847-akt-mit-stuhl-und-rotem-tuch-1930.jpg
Jankel Adler,Cubism,nude painting (nu),Cubism,,https://www.wikiart.org/en/jankel-adler/reclining-nude-1940,https://uploads2.wikiart.org/images/jankel-adler/reclining-nude-1940.jpg,156848-reclining-nude-1940.jpg
Corneliu Michailescu,Expressionism,nude painting (nu),Cubism,,https://www.wikiart.org/en/corneliu-michailescu/prezic-toare,https://uploads4.wikiart.org/images/corneliu-michailescu/prezic-toare.jpg!Large.jpg,156924-prezic-toare.jpg
Yervand Kochar,Expressionism,nude painting (nu),Cubism,,https://www.wikiart.org/en/yervand-kochar/the-woman-with-a-key-1930,https://uploads4.wikiart.org/00140/images/yervand-kochar/the-woman-with-a-key-1930-2.jpg!Large.jpg,156937-the-woman-with-a-key-1930-2.jpg
Yervand Kochar,Expressionism,nude painting (nu),Cubism,['Mythology'],https://www.wikiart.org/en/yervand-kochar/the-girl-with-a-mandolin-1959,https://uploads8.wikiart.org/00140/images/yervand-kochar/the-girl-with-a-mandolin-1959-2.png!Large.png,156944-the-girl-with-a-mandolin-1959-2.png!Large.png
Carlos Quizpez Asín,Muralism,nude painting (nu),Cubism,['Mythology'],https://www.wikiart.org/en/carlos-quizpez-asin/las-banistas-1943,https://uploads6.wikiart.org/00221/images/carlos-quizpez-asin/1943-las-ba-istas.jpg!Large.jpg,156966-1943-las-ba-istas.jpg
Anton Prinner,Cubism,nude painting (nu),Cubism,,https://www.wikiart.org/en/anton-prinner/la-femme-tondue-1946,https://uploads6.wikiart.org/00333/images/anton-prinner/la-femme-tondue-1946-1.jpg!Large.jpg,157056-la-femme-tondue-1946-1.jpg
Anton Prinner,Expressionism,nude painting (nu),Cubism,,https://www.wikiart.org/en/anton-prinner/bare-woman-in-profile-and-tools,https://uploads8.wikiart.org/00333/images/anton-prinner/bare-woman-in-profile-and-tools-1.jpg!Large.jpg,157077-bare-woman-in-profile-and-tools-1.jpg
Nikos Hadjikyriakos-Ghikas,Cubism,nude painting (nu),Cubism,['Lady'],https://www.wikiart.org/en/nikos-hadjikyriakos-ghikas/white-figure-1970,https://uploads0.wikiart.org/images/nikos-hadjikyriakos-ghikas/white-figure-1970(4).jpg!Large.jpg,157138-white-figure-1970(4).jpg
M.F. Husain,Cubism,nude painting (nu),Cubism,['Sketch'],https://www.wikiart.org/en/m-f-husain/female-figure-1950,https://uploads8.wikiart.org/images/m-f-husain/female-figure-1950.jpg,157265-female-figure-1950.jpg
M.F. Husain,Cubism,nude painting (nu),Cubism,['Relief'],https://www.wikiart.org/en/m-f-husain/rajasthani-women-1960,https://uploads2.wikiart.org/images/m-f-husain/rajasthani-women-1960.jpg,157274-rajasthani-women-1960.jpg
M.F. Husain,Cubism,nude painting (nu),Cubism,,https://www.wikiart.org/en/m-f-husain/kobra-1968,https://uploads0.wikiart.org/images/m-f-husain/kobra-1968.jpg,157288-kobra-1968.jpg
M.F. Husain,Abstract Expressionism,nude painting (nu),Cubism,"['Branch', 'Leaf', 'Botany', 'Tree']",https://www.wikiart.org/en/m-f-husain/untitled-1971-1,https://uploads8.wikiart.org/images/m-f-husain/untitled-1971-1(1).jpg,157292-untitled-1971-1(1).jpg
M.F. Husain,Cubism,nude painting (nu),Cubism,,https://www.wikiart.org/en/m-f-husain/untitled-lovers-1972,https://uploads4.wikiart.org/images/m-f-husain/untitled-lovers-1972(1).jpg,157293-untitled-lovers-1972(1).jpg
M.F. Husain,Expressionism,nude painting (nu),Cubism,,https://www.wikiart.org/en/m-f-husain/frolicking-ganesh-1974,https://uploads3.wikiart.org/images/m-f-husain/frolicking-ganesh-1974.jpg,157296-frolicking-ganesh-1974.jpg
M.F. Husain,Cubism,nude painting (nu),Cubism,,https://www.wikiart.org/en/m-f-husain/untitled-3,https://uploads3.wikiart.org/images/m-f-husain/untitled-3(1).jpg,157339-untitled-3(1).jpg
Stanley Pinker,Fauvism,nude painting (nu),Cubism,['Line'],https://www.wikiart.org/en/stanley-pinker/nude-under-a-bridge,https://uploads4.wikiart.org/images/stanley-pinker/nude-under-a-bridge.jpg,157435-nude-under-a-bridge.jpg
Stanley Pinker,Fauvism,nude painting (nu),Cubism,,https://www.wikiart.org/en/stanley-pinker/the-embrace,https://uploads6.wikiart.org/images/stanley-pinker/the-embrace.jpg!Large.jpg,157438-the-embrace.jpg
Stanley Pinker,Cubism,nude painting (nu),Cubism,,https://www.wikiart.org/en/stanley-pinker/the-bathers,https://uploads5.wikiart.org/images/stanley-pinker/the-bathers.jpg,157443-the-bathers.jpg
